Congress,House Majority,Senate Majority,Presidency,Party Government,start_year,end_year,year,Presidency_party
91st (1969–1971),Democrats,Democrats,Republican (Nixon),Divided,1969,1971,1971,Republican
92nd (1971–1973),Democrats,Democrats,Republican (Nixon),Divided,1971,1973,1971,Republican
92nd (1971–1973),Democrats,Democrats,Republican (Nixon),Divided,1971,1973,1972,Republican
92nd (1971–1973),Democrats,Democrats,Republican (Nixon),Divided,1971,1973,1973,Republican
93rd (1973–1975),Democrats,Democrats,Republican (Nixon / Ford)11,Divided,1973,1975,1973,Republican
93rd (1973–1975),Democrats,Democrats,Republican (Nixon / Ford)11,Divided,1973,1975,1974,Republican
93rd (1973–1975),Democrats,Democrats,Republican (Nixon / Ford)11,Divided,1973,1975,1975,Republican
94th (1975–1977),Democrats,Democrats,Republican (Ford),Divided,1975,1977,1975,Republican
94th (1975–1977),Democrats,Democrats,Republican (Ford),Divided,1975,1977,1976,Republican
94th (1975–1977),Democrats,Democrats,Republican (Ford),Divided,1975,1977,1977,Republican
95th (1977–1979),Democrats,Democrats,Democrat (Carter),Unified,1977,1979,1977,Democrat
95th (1977–1979),Democrats,Democrats,Democrat (Carter),Unified,1977,1979,1978,Democrat
95th (1977–1979),Democrats,Democrats,Democrat (Carter),Unified,1977,1979,1979,Democrat
96th (1979–1981),Democrats,Democrats,Democrat (Carter),Unified,1979,1981,1979,Democrat
96th (1979–1981),Democrats,Democrats,Democrat (Carter),Unified,1979,1981,1980,Democrat
96th (1979–1981),Democrats,Democrats,Democrat (Carter),Unified,1979,1981,1981,Democrat
97th (1981–1983),Democrats,Republicans,Republican (Reagan),Divided,1981,1983,1981,Republican
97th (1981–1983),Democrats,Republicans,Republican (Reagan),Divided,1981,1983,1982,Republican
97th (1981–1983),Democrats,Republicans,Republican (Reagan),Divided,1981,1983,1983,Republican
98th (1983–1985),Democrats,Republicans,Republican (Reagan),Divided,1983,1985,1983,Republican
98th (1983–1985),Democrats,Republicans,Republican (Reagan),Divided,1983,1985,1984,Republican
98th (1983–1985),Democrats,Republicans,Republican (Reagan),Divided,1983,1985,1985,Republican
99th (1985–1987),Democrats,Republicans,Republican (Reagan),Divided,1985,1987,1985,Republican
99th (1985–1987),Democrats,Republicans,Republican (Reagan),Divided,1985,1987,1986,Republican
99th (1985–1987),Democrats,Republicans,Republican (Reagan),Divided,1985,1987,1987,Republican
100th (1987–1989),Democrats,Democrats,Republican (Reagan),Divided,1987,1989,1987,Republican
100th (1987–1989),Democrats,Democrats,Republican (Reagan),Divided,1987,1989,1988,Republican
100th (1987–1989),Democrats,Democrats,Republican (Reagan),Divided,1987,1989,1989,Republican
101st (1989–1991),Democrats,Democrats,Republican (G.H.W. Bush),Divided,1989,1991,1989,Republican
101st (1989–1991),Democrats,Democrats,Republican (G.H.W. Bush),Divided,1989,1991,1990,Republican
101st (1989–1991),Democrats,Democrats,Republican (G.H.W. Bush),Divided,1989,1991,1991,Republican
