year,coll,indi,loose,tight
1861,0.00016377943990976616,7.616772971478067e-05,9.11288979677516e-06,1.2600756083003262e-05
1862,0.00016284368215175555,7.619245926144507e-05,9.112409839956027e-06,1.2457271598265152e-05
1863,0.0001621956908885685,7.652325771800861e-05,9.256618266997465e-06,1.2528288795924223e-05
1864,0.00016232480332486636,7.65502569356004e-05,9.227423277239197e-06,1.246282508883415e-05
1865,0.00016190355745493434,7.724581939884599e-05,9.213268648331337e-06,1.2414224323618685e-05
1866,0.00016243456981815792,7.790324823529562e-05,9.011233852425955e-06,1.2324795441896545e-05
1867,0.0001626097979884175,7.788401392159828e-05,8.938542788613662e-06,1.2343926075837023e-05
1868,0.0001644799298219368,7.793713750205354e-05,8.758795759304858e-06,1.2254432346026078e-05
1869,0.000163507084185507,7.85266522080568e-05,8.704044996640396e-06,1.2306472873189834e-05
1870,0.00016432321975961322,7.872661659342433e-05,8.533386026150582e-06,1.2249944682045974e-05
1871,0.00016313426432848895,7.860676099064838e-05,8.533815823523276e-06,1.2273953142941504e-05
1872,0.0001618301024076832,7.824988311507956e-05,8.431136527945707e-06,1.2228472012968235e-05
1873,0.00015933047130342208,7.772256098245325e-05,8.431127812751666e-06,1.2198464701944952e-05
1874,0.0001586421207743375,7.785033572003743e-05,8.346419105855524e-06,1.2165105582490856e-05
1875,0.0001549687140790671,7.693044063574104e-05,8.2910036817723e-06,1.2141504954245519e-05
1876,0.0001533386358525084,7.575392566343858e-05,8.211985223124151e-06,1.2110823568584854e-05
1877,0.00014927404799891517,7.500380539277835e-05,8.166972586154001e-06,1.2032067707882072e-05
1878,0.00014767342551229897,7.431852915778287e-05,8.041768009859976e-06,1.1983731825588555e-05
1879,0.000144847433879087,7.418306134811457e-05,8.0425618706926e-06,1.1955079158200631e-05
1880,0.0001423917623567052,7.40063950652419e-05,7.950972830289951e-06,1.1902006113168843e-05
1881,0.0001404963121396057,7.383345738633449e-05,7.929559791271048e-06,1.192066920491389e-05
1882,0.0001402555659361886,7.433343287540797e-05,7.877886523252604e-06,1.1946291827972087e-05
1883,0.00013924818097166278,7.511662673108179e-05,7.871509325515663e-06,1.2046286457742133e-05
1884,0.00013998703095044867,7.560425612496147e-05,7.830768602449087e-06,1.2159693498858817e-05
1885,0.0001386034770121114,7.609389313094945e-05,7.837244139530242e-06,1.2220781048861388e-05
1886,0.00013847256398743672,7.650296798443281e-05,7.800185681230975e-06,1.2247496239581324e-05
1887,0.0001377528291186536,7.68673433110426e-05,7.793421460079918e-06,1.2320509433497557e-05
1888,0.00013666248811919753,7.72112330551522e-05,7.734553920665406e-06,1.2246279671757066e-05
1889,0.00013463980727530206,7.804629759330542e-05,7.734899833425543e-06,1.2172849726052197e-05
1890,0.00013343599765188886,7.841478954061034e-05,7.723040243595517e-06,1.2006174819134686e-05
1891,0.00013191100408351173,7.908812304638754e-05,7.772111031712929e-06,1.1942123513059804e-05
1892,0.00013215531643189543,7.926642501031113e-05,7.70372278810117e-06,1.1908123040882401e-05
1893,0.00013089758380959083,8.013387188197741e-05,7.659895595185848e-06,1.1870204721832677e-05
1894,0.00013169591756780261,8.025697313079102e-05,7.640782587158401e-06,1.1923785245012859e-05
1895,0.00013063808380918217,8.061175244579642e-05,7.644735313114466e-06,1.196886587797914e-05
1896,0.00013090251060735424,8.12877748574335e-05,7.63816715670216e-06,1.1934442089714788e-05
1897,0.00012929126621332083,8.234797091485495e-05,7.628647189942412e-06,1.1906277354662672e-05
1898,0.00012942295646618213,8.245628578151809e-05,7.5779023624123515e-06,1.1948298964016756e-05
1899,0.00012707409486470818,8.316954982693199e-05,7.595382481677901e-06,1.1862044149881151e-05
1900,0.0001267877945240668,8.303990693596981e-05,7.563249582577833e-06,1.184646596900255e-05
1901,0.0001248001025097827,8.381583651839719e-05,7.533191356766686e-06,1.1736664983784194e-05
