Year_x,GDP per capita,Year_y,indi_%,coll_%,tight_%,loose_%,year
1918,10471.306,1918,0.4432115804062016,0.2095404660168439,0.046172374945616,0.0422106267053525,1918
1919,10449.78,1919,0.4335087254419502,0.2055242205145676,0.045122459022599,0.0406808746892783,1919
1920,10152.927,1920,0.4246516981682676,0.2028111846740549,0.0388825531618585,0.0362779802227866,1920
1921,9674.881,1921,0.4230259032716515,0.201295984804496,0.0353125425706951,0.0328005696381696,1921
1922,10009.715,1922,0.4397410321316338,0.1955401877826918,0.0349835286776247,0.0321626210505957,1922
1923,11071.243,1923,0.3227620387466987,0.2401127691041498,0.0635816948508534,0.0536665559591718,1923
1924,11126.713,1924,0.3447247928117895,0.2275963405887451,0.0620569608172024,0.048735833102515,1924
1925,11149.772,1925,0.3071250371269021,0.2102340266409463,0.0614124486424269,0.0475977873936192,1925
1926,11647.768,1926,0.2502256813135872,0.2163612852855783,0.0699734062019664,0.0610925415375606,1926
1927,11532.397,1927,0.2989369329038244,0.2218102310070427,0.0646372044287433,0.060014468352911,1927
1928,11451.069,1928,0.2813435938335185,0.20588875785163,0.0591647364595618,0.0488137357214166,1928
1929,11954.235,1929,0.3191108472205056,0.2190900785768255,0.0551069839979511,0.0520490241922845,1929
1930,10694.982,1930,0.4180516439612261,0.2089234837568771,0.0476384431490699,0.0365347458737228,1930
1931,9930.964,1931,0.3833633309725083,0.2029307801768669,0.0473518690586805,0.0423973853321291,1931
1932,8380.505,1932,0.4053174064919154,0.202574297288754,0.0413589190297872,0.0351128781967173,1932
1933,8048.2246,1933,0.3893246500639339,0.2190917510486872,0.0509204069715603,0.041488793129662,1933
1934,8667.092,1934,0.466890608859991,0.2158192020888232,0.0438641526718568,0.0418767800588924,1934
1935,9680.839,1935,0.4436194311603322,0.2087331676315127,0.0471935565064183,0.0400162031210672,1935
1936,10568.013,1936,0.4563186318718496,0.2011132211128938,0.0425422559138067,0.0384997791075173,1936
1937,11295.099,1937,0.459519308668647,0.1974615176883608,0.0447204968944099,0.0442019983796921,1937
1938,10526.134,1938,0.4461428633011256,0.233777344488326,0.0468028401934075,0.0483660929529039,1938
1939,11171.448,1939,0.4577794513509438,0.2009190806304073,0.0450149041322508,0.0415383267820167,1939
1940,12005.095,1940,0.4513135125158222,0.2026085677424674,0.0490476694627429,0.049422436755677,1940
1941,13553.401,1941,0.4723295287348405,0.205485884584802,0.0369816156291153,0.0441608908979729,1941
1942,14869.861,1942,0.4528515260538248,0.2052557823771369,0.0457888756176279,0.046923386906469,1942
1943,16050.218,1943,0.4373629363289271,0.1916823376513559,0.0433824326882953,0.042693093185833,1943
1944,16999.328,1944,0.4848224683076758,0.1967210063367198,0.0350165717961872,0.0409496122001924,1944
1945,16477.553,1945,0.435879743520954,0.1825487728940811,0.0324212164440409,0.0402914048632814,1945
1946,14822.467,1946,0.4312747086657594,0.1955678023020932,0.0444682430336588,0.045981340150116,1946
1947,14311.547,1947,0.4738477423665245,0.2133880730444883,0.0479731691901217,0.0511523999870932,1947
1948,14734.232,1948,0.4253882832815939,0.2057532957133145,0.0404090345093154,0.0437843773918582,1948
1949,14196.672,1949,0.4940964539740087,0.2000863988845206,0.0349493913774275,0.0402983254663205,1949
1950,15240.0,1950,0.4080201584435612,0.2063315807081924,0.0462998520747931,0.0559329984296235,1950
1951,16125.0,1951,0.4741947588565745,0.1972562119651031,0.0383961510266956,0.0471121231832932,1951
1952,16444.0,1952,0.4684509631179041,0.1917551330141594,0.0330660340775203,0.0422149227197556,1952
1953,16917.0,1953,0.4511444523621215,0.1977244074140779,0.0342102378174357,0.0456625921082511,1953
1954,16512.0,1954,0.4820032071811224,0.1925646285066646,0.0410029412021938,0.0470221935493164,1954
1955,17370.0,1955,0.4840537254034933,0.2073199941042081,0.0390135603213206,0.0502063527157491,1955
1956,17397.0,1956,0.3777612915370221,0.2037846995382622,0.0488091151686948,0.056604400349902,1956
1957,17406.0,1957,0.4491603207021622,0.1878017041099738,0.0423811323780397,0.0462158529339845,1957
1958,16946.0,1958,0.4900045364408025,0.1983023458094789,0.0332586163295498,0.0446751102768693,1958
1959,17900.0,1959,0.4277839719372198,0.1956017098091319,0.0403238989940821,0.046294300020233,1959
1960,18057.0,1960,0.50592164984382,0.1944252465538968,0.0306512146868376,0.0401880202808216,1960
